"","PERIODO_OFICIALIZACION","SUBREGIMEN","REGION_ORIGEN","PAIS_ORIGEN_DESC","REGION_PROCEDENCIA","PAIS_PROCEDENCIA_DESC","MEDIO_TRANSPORTE_DESC","ADUANA_DESC","REGION_ADUANA","UNIDAD_DESC","CAPITULO","PARTIDA","CANTIDAD_UNIDAD","KILOS_NETOS","MONTO_FOB_DOLAR","CANAL"
"2000",201703,"IC04","UE","ITALIA","UE","ITALIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8536",2130.53,2130.53,187039.39,"N"
"2001",201703,"IC04","UE","ITALIA","UE","ITALIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8207",230.64,230.64,58478.21,"V"
"2002",201701,"IC04","CN","CHINA","CN","CHINA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8538",832.28,832.28,67813.28,"V"
"2003",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8529",1223.79,1223.79,54551.93,"V"
"2004",201703,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8537",1315.85,1315.85,222701.59,"R"
"2005",201703,"IC04","UE","ITALIA","UE","ITALIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8537",125.99,125.99,40156.14,"V"
"2006",201703,"IC04","UE","REP_FED_DE_ALEMANIA","UE","REP_FED_DE_ALEMANIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8538",5592.98,5592.98,207726.87,"V"
"2007",201701,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8517",185.98,185.98,94464.54,"N"
"2008",201701,"IC04","NA","MEXICO","NA","MEXICO","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8536",634,634,65327.04,"V"
"2009",201701,"IC04","CN","CHINA","CN","CHINA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8517",432.82,432.82,118864.91,"V"
"2010",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8529",109.17,109.17,114600.32,"V"
"2011",201702,"IC04","MS","BRASIL","MS","BRASIL","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8517",745.98,745.98,67345.05,"N"
"2012",201702,"IC04","NA","MEXICO","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8544",410.48,410.48,228589.1,"N"
"2013",201702,"IC04","XX","JAPON","XX","JAPON","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8537",219.2,219.2,63156.17,"V"
"2014",201703,"IC04","UE","PAISES_BAJOS","UE","PAISES_BAJOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8208",96.2,96.2,84573.68,"V"
"2015",201703,"IC04","XX","JAPON","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8209",69.6,69.6,68801.59,"V"
"2016",201703,"IC04","UE","FRANCIA","UE","FRANCIA","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8538",519.22,519.22,77583.23,"R"
"2017",201703,"IC05","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","87","8708",1752.7,1752.7,100671.21,"N"
"2018",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8209",96.8,96.8,45026.91,"V"
"2019",201702,"IC04","NA","ESTADOS_UNIDOS","NA","ESTADOS_UNIDOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8535",739.7,739.7,46069.39,"R"
"2020",201701,"IC04","MS","BRASIL","MS","BRASIL","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","82","8207",452.75,452.75,70026.04,"V"
"2021",201701,"IC04","CN","CHINA","UE","PAISES_BAJOS","AVION","EZEIZA","DIRECCION_ADUANA_DE_EZEIZA","KILOGRAMO","85","8544",415.53,415.53,89254.65,"R"
